,Excluded:,Unnamed: 1,Unnamed: 2,Section,Code,Page,SubCode,Text,Required/Core or Improvement,# of points,Notes,Agronomic Practices,Biosecurity/Sanitation,Planning,Application Restrictions,Education/training,Monitoring,Record-Keeping,Worker Safety,Materials/Waste Mgmt,Prohibited Practice,Prohibited Material,Limited Use Substances,Phase Out,Pesticide Practices,Threshold,Performance Standard,Non-Quantitative Performance Standards,Unnamed: 25,Differentiated Standards,Applies to Small Farms,Applies to Medium Farms ,Applies to Large Farms,CertName,Performance: Improvement,Unnamed: 26,Follow the law,Unnamed: 20,Biosecurity,Unnamed: 23,Unnamed: 24
3,,,,2. Western flower thrips ,,2.0,a,a.  Chemical control of thrips is determined from monitoring data.  Monitoring should occur from pink through shuck fall.  The action thresholdsis presence of thrips on 10% of fruit samples. D ,Required,,,,,,,,determine whether to spray using: scouting and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
4,,,,3. Peach scab ,,2.0,a,a.  Peaches are monitored for scab lesions from bloom through mid-July in blocks with a history of scab.  Scab spores overwinter on shoots and monitoring is very important to determine presence of infections.  If scab is found on fruit it will quickly spread unless appropriate treatments are made. D ,Required,,,,,,,,monitoring for peach scab,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
5,,,,4. Green peach aphid (GPA),,3.0,a,Chemical control of GPA is based on monitoring and thresholds.  Monitor for GPA from petal fall to one month after shuck fall. D ,Required,,,,,,,,determine whether to spray using: scouting and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
6,,,,5. Japanese beetle,,3.0,a,a.  Chemical control for Japanese beetle is not applied unless feeding injury to leaves or fruit is observed.  Japanese beetle should be monitored from late summer through early fall. ,Required,,,,,,,,determine whether to spray using: scouting and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
7,,,,6. Greater peachtree borer (GPTB) and lesser peachtree borer (LPTB) ,,3.0,a,"a.  Pheromone traps are used to monitor GPTB and LPTB. D  Note: Trap catches with ten or more moths per week warrant control, or the presence of one or two larva or pupal casings per tree from scouting.  Pheromone lures for GPTB are not pest-specific and other clear-wing moths, e.g., dogwood borer and lilac borer, may be caught in traps.  Pheromone lures for LPTB are pest-specific. ",Required,,,,,,,,determine whether to spray using: scouting and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
8,,,,7. Bacterial spot ,,3.0,a,a.  Use one or more copper applications during the fall and/or spring to reduce bacterial spot inoculum in susceptible varieties with a history of or potential for bacterial spot. D ,Required,,,,,,,,,,,,,,,,copper applications,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
9,,,,7. Bacterial spot ,,3.0,b,b.  Control of bacterial spot after petal fall is determined by monitoring for lesions on fruit and leaves and weather data indicating wetting periods favorable for bacterial spot infections. D,Required,,,,,,,,determine whether to spray using: scouting and weather model,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
10,,,,8. X-Disease ,,3.0,a," Broadleaf weeds, if present in blocks with varieties susceptible to X-disease are controlled either through herbicide use or cultural controls, e.g., mechanical cultivators, mowing or mulching. D",Required,,,,control weed that host diseases,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
11,,,,9. Black knot – Plums ,,4.0,a,a.  Monitor for black knots on vegetative terminal shoots from dormancy through bloom. ,Required,,,,,,,,monitor,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
12,,,,,,4.0,b,"b.  Prune infected shoots and limbs during dormancy.  Prunings are destroyed, e.g., burned or buried, to eliminate inoculum. S ",Required,,,prune infected parts of plants,destroy prunings,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
13,,,,,,4.0,c,"c.  Chemical control of black knot is applied between white bud and shuck split, if justified by monitoring results. D ",Required,,,,,,,,determine whether to spray using: monitoring and crop phenology,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
14,,,,"10. Perennial canker (Also called Valsa, Cytospora, Leucostoma canker) ",,4.0,a,"a.  Cultural controls are used to prevent infections, e.g., maintaining wide branch angles, removing infected cankers during dormancy, removing wild hosts and abandoned fruit trees. S ",Required,,,wide branch angles,control wild hosts near fields,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
15,,,,"10. Perennial canker (Also called Valsa, Cytospora, Leucostoma canker) ",,4.0,b,"Insects and diseases (greater and lesser peachtree borers, brown rot, etc.) that serve as vectors of perennial canker are managed effectively. ",Required,,,,,,,,,,,,,,,,control insect pests that spread disease,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
16,,,,11. Powdery mildew,,4.0,a,"a.  Control decisions are determined by scouting for the presence of white mycelial growth on young leaves.  Fungicides, if needed, are applied between petal fall through pit hardening.  Once fruit have reached pit-hardening stage, susceptible cultivars become resistant. D ",Required,,,,,,,,"determine when to spray using: monitoring, crop phenology",,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
17,,,,11. Powdery mildew,,4.0,b,b.  Application of chemical controls end once pit-hardening stage is reached and all cultivars become resistant. D ,Required,,,,,,,,determine when to spray using: crop phenology,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
18,,,,12. Peach leaf curl,,4.0,a,"a.  If justified by monitoring, cultivar susceptibility and/or block history, chemical control for peach leaf curl is applied in the fall after 90% foliage drop or in the spring before bud swell. D",Required,,,,,,,,"determine when to spray using: monitoring, crop phenology",,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
19,,,,12. Peach leaf curl,,4.0,b,b.  Monitor young leaves during bloom for foliar symptoms of peach leaf curl.  Monitoring should be done to determine effectiveness of chemical control and determine necessity of fall or spring pesticide application. D ,Required,,,,,,,,determine whether sprays worked using: monitoring,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
20,,,,13. Plum curculio,,5.0,a,"a.  After the first application of pesticide for plum curculio at or after shuck split, further treatment decisions are based on sampling fruit for any sign of fresh injury, fruit diameter reaching 6-7 mm and/or a degree-day-based oviposition model.  The risk for plum curculio immigration into peach orchards likely ends at 350-degree days (base 50°F) from peach shuck split. D",Required,,,,,,,,determine whether to spray using: scouting or dd model,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
21,,,,13. Plum curculio,,5.0,b,"b.  Second pesticide applications for plum curculio (and third if necessary) are perimeterrow sprays rather than whole-block treatments. D You may score as NA where full-block applications may be needed including blocks with trees less than 7 feet in height, or where scouting indicates fresh injury in the interior of a block.",Required,,,,,,,,,,,,,,,,perimeter spray (2nd application),,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
22,,,,14. Mites,,5.0,a,"a.  Post-bloom miticides are applied only after mites and mite predators have been systematically sampled in each block and predators are insufficient to provide control.  Systematic sampling includes viewing a pre-determined number of leaves and trees in each block and using a quantitative thresholdsfor determining need to treat such as those found in the New England Tree Fruit Management Guide, the Cornell Pest Management Guidelines for Commercial Tree Fruit Production or the Pennsylvania Tree Fruit Production Guide.",Required,,,,,,,,determine whether to spray using: systematic sampling and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
23,,,,14. Mites,,5.0,b,b.  No more than two post-bloom applications of miticide are made per season. D ,Required,,,,,,,,,,,,,,no more than 2 applications of miticides,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
24,,,,15. Oriental fruit moth and lesser appleworm ,,5.0,a,a.  Oriental fruit moth and/or lesser appleworm are not treated unless need is indicated by block or region history of economic injury or by monitoring using pheromone traps or sampling for damage. D ,Required,,,,,,,,determine whether to spray using: traps or history of damage,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
25,,,,15. Oriental fruit moth and lesser appleworm ,,5.0,b,"b.  If oriental fruit moth and/or lesser appleworm are treated, degree days are used to calculate treatment timing. D ",Required,,,,,,,,determine when to spray using: dd model,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
26,,,,16. Tarnished plant bug and native stink bugs ,,6.0,b,a.  Treatments for tarnished plant bug and native stink bugs are based on scouting and thresholds where available. D ,Required,,,,,,,,determine when to spray using: scouting and thresholds,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
27,,,,16. Tarnished plant bug and native stink bugs ,,,,b,Required,,,control weeds as insect hosts,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
28,,,,17. Apple maggot – Plums,,6.0,a,"a.  Treatment decisions for apple maggot are based on monitoring with three or more red sphere traps per 10-15 acre block and a thresholdsof an average of one per trap if using unbaited traps or an average of five per trap if using odor-baited traps.  Use more traps per acre in small blocks and other blocks with lengthy perimeters vs. area.  At the end of the effective period of the pesticide, clean traps and continue to monitor. D ",Required,,,,,,,,determine when to spray using: traps and dd model,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
29,,,,"19. Spotted wing drosophila (SWD) – Peach, plum and nectarine ",,6.0,a,"a.  If SWD requires chemical control, monitoring is conducted with baited traps to determine when it becomes active in the orchard. D ",Required,,,,,,,,determine when to spray using: traps,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
30,,,,18. Obliquebanded leafroller,,7.0,a,"a.  The overwintering generation of obliquebanded leafroller is not treated unless need is indicated by systematic sampling for infested clusters or terminals, e.g., 3% infested using the sampling procedure described in the Cornell Guide for Pest Management of Tree Fruit. D Score as NA if there is no block or region history of economic injury due to obliquebanded leafroller",Required,,,,,,,,determine when to spray using: scouting and threshold,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
31,,,,18. Obliquebanded leafroller,,7.0,b,b.  Degree days are used to calculate treatment timing for summer generations of obliquebanded leafroller. D ,Required,,,,,,,,determine when to spray using: dd model,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
32,,,,20. Spotted wing drosophila – Cherry ,,7.0,a,"a.  If SWD requires chemical control, monitoring is conducted with baited traps to determine when it becomes active in the orchard. D ",Required,,,,,,,,determine when to spray using: traps,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
33,,,,21. Brown marmorated stink bug (BMSB),,8.0,a,"a.  Blocks at risk for BMSB are scouted for BMSB beginning after petal fall and baited traps are used to monitor BMSB through harvest.  In blocks where one adult BMSB is observed within the orchard perimeter along 100 feet of row, or feeding injury is observed, management should begin.  Note: BMSB adults disperse into peaches in New Jersey around 170 DD (base 57).  Begin to accumulate degree days when day length reaches 13.5 hours; in NJ that is April 22.  BMSB can complete their entire lifecycle on peach alone and second-instar nymphs through adults can cause feeding injury.  Place traps on perimeter between orchard and hedgerow.  Trap thresholds are not established in peaches. ",Required,,,,,,,,determine when to spray using: scouting and dd mmodel,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
34,,,,21. Brown marmorated stink bug (BMSB),,8.0,b,"b.  Perimeter sprays are used to manage BMSB until BMSB nymphs, adults or feeding damage are found in the interior of the block.  The perimeter is defined as the first four rows or up to 50 feet from the orchard edge.  Note: The majority of adult BMSB stop along the border edge for seven days before going into the interior.  This movement is continuous throughout the entire season.  Perimeter sprays are found to be most effective on blocks up to 10 acres in size",Required,,,,,,,,,,,,,,,,perimeter spray for bmsb,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
35,,,,21. Brown marmorated stink bug (BMSB),,8.0,c,"c.  Alternate-row middle or full-block cover sprays may be applied once BMSB nymphs, adults or feeding are found within the interior of the block or blocks that require treatment are larger than 10 acres. D",Required,,,,,,,,determine full-block applications with: monitoring,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
36,,,,21. Brown marmorated stink bug (BMSB),,8.0,d,"d.  For each insecticide application for BMSB, efficacy against other pests is considered, e.g., if also effective against apple maggot, no additional application is made for apple maggot during the effective period. D ",Required,,,,,,,,,,,,,,,,consider cross-efficacy of pesticides,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
37,,,,B. Advanced Practices,,9.0,1,1.  No miticides are used other than an early season oil spray.  Mites are managed principally by conserving natural enemies. D ,ScoreCard,1.0,,conserve natural enemies,,,,,,,,,,miticides,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
38,,,,B. Advanced Practices,,9.0,2,"2.  Mite thresholds are adjusted upwards based on varietal susceptibility, current or anticipated weather, or other factors reducing potential for economic injury. D ",ScoreCard,1.0,,,,,,,mite thresholds altered based on weather,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
39,,,,B. Advanced Practices,,9.0,3,"3.  Apple maggot (plums) is controlled without pesticide sprays, i.e., trap out. D ",ScoreCard,2.0,,,,,,,,,,,,spray for apple maggots,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
40,,,,B. Advanced Practices,,9.0,4,4.  All abandoned pome and stone fruit trees within 100 yards are removed to reduce immigration of insect pests. S ,ScoreCard,1.0,,,remove alternate insect hosts from buffer,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
41,,,,B. Advanced Practices,,9.0,6,6.  Tree-row volume is used to calculate applications rates. D ,ScoreCard,1.0,,,,,,,,,,,,,,,tree-row volume applications,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
42,,,,B. Advanced Practices,,9.0,7,7.  Varieties with lower susceptibility to bacterial spot are grown. ,ScoreCard,2.0,,disease tolerant trees used,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
43,,,,B. Advanced Practices,,9.0,8,"8.  Rodents and rabbits are managed without rodenticides, e.g., close mowing, mouse guards, removing drops, encouraging predators and painting trunks with white-latex paint. D ",ScoreCard,1.0,,,,,,,,,,,,rodenticides,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
44,,,,B. Advanced Practices,,9.0,9,9.  Remove chokecherries and wild sweet cherries within a 500 feet radius of the orchard; they are a host for X-disease. S ,ScoreCard,1.0,,,remove alternate disease hosts from buffer,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
45,,,,B. Advanced Practices,,9.0,10,"10.  Biopesticides are used, e.g., Bacillus subtilis, Bacillus thuringiensis, granulosis virus. D ",ScoreCard,1.0,,,,,,,,,,,,,,,biopesticides,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
46,,,,B. Advanced Practices,,9.0,11,"11.  Where oriental fruit moth requires intervention, mating disruption is used. D ",ScoreCard,2.0,,mating disruption for oriental fruit moth,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
47,,,,B. Advanced Practices,,10.0,12, ,ScoreCard,2.0,,mating disruption for peachtree borers,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
48,,,,B. Advanced Practices,,10.0,14, Buildings are inspected for overwintering populations of BMSB.  Large aggregations of overwintering BMSB are removed and disposed of in a tightly sealed trash bag. S ,ScoreCard,2.0,,removal of overwintering bmsb from buildings,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
49,,,,B. Advanced Practices,,10.0,15,15.  No post-harvest fungicides are used. D ,ScoreCard,1.0,,,,,,,,,,,,,"fungicides, not after harvest",,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
50,,,,B. Advanced Practices,,10.0,16,  Trunks are painted with white latex paint to prevent trunk splitting and reduce winter sunscald. S   Note: Trunk splitting can increase attractiveness of trees to dogwood borers.  ,ScoreCard,2.0,,paint tree-trunks for pest and disease management,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
51,,,,B. Advanced Practices,,10.0,17,Base of trunks are kept weed-free to reduce environments attractive to borer species. S ,ScoreCard,1.0,,keep tree-trunks weed free,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
52,,,,B. Advanced Practices,,10.0,18,18.  Trees heavily infested (≥75% dead or dying) by borer larvae are removed from the orchard and burned before the following spring.  Stumps must also be removed.  All large prunings and brush piles are either flailed or burned. S ,ScoreCard,1.0,,,destrucion of infested trees,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
53,,,,B. Advanced Practices,,10.0,19,"9.  Canker infested wood are removed from trees and destroyed to promote rapid decomposition, which reduces overwintering inoculum. ",ScoreCard,1.0,,,prune and destroy infected wood,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
54,,,,B. Advanced Practices,,10.0,20,20.  Row middles are mowed and maintained to reduce risk of SWD infestation.  Frequent mowing helps to reduce humidity and create a hot/dry microclimate not favored by SWD. S ,ScoreCard,1.0,,mowing to reduce insect habitat,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
55,,,,B. Advanced Practices,,10.0,21,"21.  Cherry trees with large canopies are actively pruned to reduce risk of SWD infestation.  Pruning helps to reduce humidity within the canopy, enhance light penetration and aids coverage of insecticide applications. ",ScoreCard,1.0,,canopy pruning,,,,,,,,,,,,,,,,,,,,,,Eco Apple Stonefruit,nan,nan,nan,nan,nan,nan,nan
0,,,,1,,2.0,a," After the first application of pesticide for plum curculio at or after petal fall, further treatment decisions are based on sampling fruit for any sign of fresh injury, fruit diameter reaching 6-7 mm and/or a degree-day-based oviposition model.  Research indicates plum curculio immigration into orchards ends at about 308 degree days (base 50°F) from apple petal fall. D ",Required,,,,,,,,determine spray timing with: dd model or fruit size or sampling for injury,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
1,,,,1,,2.0,b,"Second (and third if necessary) pesticide applications for plum curculio are perimeterrow sprays rather than whole-block treatments.  You may score as NA where full-block applications may be needed: blocks with trees less than seven feet in height, or where scouting indicates fresh injury in the interior of a block. D ",Required,,,,,,,,,,,,,,,,"perimeter-spraying (2nd spray, plum curculio)",,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
2,,,,2. Oriental fruit moth and lesser appleworm ,,2.0,a,a. Oriental fruit moth and/or lesser appleworm is not treated unless need is indicated by block or region history of economic injury or by monitoring using pheromone traps or sampling for damage. ,Required,,,,,,,,determine whether to spray with: history of econ damage or pheremone traps,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
3,,,,2. Oriental fruit moth and lesser appleworm ,,2.0,b,"b. If oriental fruit moth or lesser appleworm is treated, degree days are used to calculate treatment timing. D",Required,,,,,,,,determine spray timing with: dd model,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
4,,,,3. Mites,,2.0,a,"Post-bloom miticides are applied only after mites and mite predators have been systematically sampled in each block and predators are insufficient to provide control.  Systematic sampling includes viewing a pre-determined number of leaves and trees in each block and using a quantitative thresholdsfor determining need to treat such as those found in the New England Tree Fruit Management Guide, the Cornell Pest Management Guidelines for Commercial Tree Fruit Production or the Pennsylvania Tree Fruit Production Guide. D",Required,,,,,,,,determine whether to spray with: pest sampling and predator sampling and threshold,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
5,,,,3. Mites,,2.0,b,No more than two post-bloom applications of miticide are made per season. ,Required,,,,,,,,,,,,,,no more than 2 applications (miticides),,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
6,,,,4. Apple maggot,,3.0,a," Treatment decisions for apple maggot are based on monitoring with three or more red sphere sticky traps per 10-15 acre block and a thresholdsof an average of one per trap if using unbaited traps, or an average of five per trap if using odor-baited traps.  Use more traps per acre in small blocks and other blocks with lengthy perimeters vs. area.  At the end of the effective period of the pesticide, clean traps and continue to monitor. ",Required,,,,,,,,determine whether to spray with: sticky traps and thresholds,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
7,,,,5. Obliquebanded leafroller,,3.0,a,"Obliquebanded leafroller is not treated unless need is indicated by systematic sampling for infested clusters or terminals (e.g., 3% infested using the sampling procedure described in the Cornell Guide for Pest Management of Tree Fruit). D ",Required,,,,,,,,determine whether to spray with: systematic sampling (defined) and thresholds,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
8,,,,5. Obliquebanded leafroller,,3.0,b,"b. If obliquebanded leafroller is treated, no more than one application is used against the overwintering generation (bloom or petal fall).  Two applications may be used against second generation.  Use degree days to calculate treatment timing. D ",Required,,,,,,,,,,,,,,"no more than 2 applications for 2nd generation, only 1 application for overwintering generation",,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
9,,,,6. Tarnished plant bug,,4.0,a,a. Orchard blocks are not treated for tarnished plant bug unless captures on white sticky traps are over thresholdsin each block treated.  Place traps no later than silver tip and use one trap per three to five acres and at least five traps per block.  Thresholds include a cumulative average by tight cluster of five per trap and eight per trap at late pink. D Note: Research results to date suggest cost of control is not justified because feeding damage does not substantially affect fruit grade and/or current control options are not very effective.  Growers are requested to consider leaving some trees untreated in blocks over thresholdsto assess extent of economic damage. ,Required,,,,,,,leave some trees untreated as control group,determine whether to spray with: sticky traps and thresholds,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
10,,,,6. Tarnished plant bug,,4.0,a,"b. Orchard floor is managed to control tarnished plant bug and stinkbugs, e.g., mowing after insecticide applications and control broad-leaf weeds with mowing or herbicides. S ",Required,,,control insects by controlling vegetation: mowing or herbicides,,,,,,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
11,,,,7. Apple scab ,,4.0,a,"a. Fungicides for apple scab cease within two weeks after primary scab season is over, unless visible infections are found during scouting. D ",Required,,,,,,,,,,,,,,,,fungicides applied: during primary pest season or scouting finds damage,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
12,,,,7. Apple scab ,,4.0,b,b. Post-harvest litter chopping is completed to reduce apple-scab inoculum between leaf drop and half-inch green tip on scab-susceptible varieties or where scab inoculum is present. S ,Required,,,litter chopping,,,,,,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
13,,,,8. Fire blight,,4.0,a,"a. Antibiotic (e.g., streptomycin or oxytetracycline) is only applied for fire blight according to a weather-based forecasting program such as Maryblyt or CougarBlight. D ",Required,,,,,,,,determine antibiotic applications with: weather model,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
14,,,,8. Fire blight,,4.0,b,b. Post-bloom applications of antibiotics for fire blight are made only in the event of hail or high wind damage in orchards with existing infections. D ,Required,,,,,,,,,,,,,,antibiotic applications limited to: during bloom or after hail/wind damage,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
15,,,,9. Sooty blotch and flyspeck,,5.0,a,"a. Fungicides are not applied for summer disease until 170 accumulated wetting hours from petal fall; early infections will be controlled by fungicides applied for scab or powdery mildew at petal fall and first cover.  If wetting data are not available, early July may be used as an estimated date.  Thereafter, fungicides should be applied at intervals no closer than those listed in Table B. D",Required,,,,,,,,determine when to spray with: weather model,,,,,,minimum intervals for specific pesticides,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
16,,,,10. Codling moth,,5.0,a,a. Codling moth is not treated unless need is indicated by block or region history of economic injury or by monitoring using pheromone traps or sampling for damage. ,Required,,,,,,,,determine whether to spray with: history of economic damage or monitoring and threshold,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
17,,,,10. Codling moth,,5.0,b,"b. If codling moth is treated, degree days are used to calculate treatment timing. D ",Required,,,,,,,,determine when to spray with: dd model,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
18,,,,11. Brown marmorated stink bug (BMSB),,6.0,a,"a. Blocks at risk for BMSB are scouted for BMSB beginning after petal fall and baited traps are used along perimeter to monitor BMSB through harvest.  In blocks that exceed trap threshold, or where one adult BMSB is observed within the orchard perimeter along 100 feet of row, management should begin.  Note: A thresholdsof 10 adults per week is used for the black-pyramid trap (Tedder’s trap).  It is not recommended to locate traps with the aggregation pheromone on the interior of the orchard.  Thresholds do not currently exist for other trap designs, e.g., clear-sticky trap, Rescue-brand trap. D",Required,,,,,,,,determine whether to spray with: traps and scouting and threshold,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
19,,,,11. Brown marmorated stink bug (BMSB),,6.0,b,b. Alternate-row middle (ARM) or perimeter sprays are used to manage BMSB.  ARM sprays may be applied on a seven-day intervals which alternate between even and odd-numbered rows.  The perimeter is defined as up to 90 feet from the orchard edge. D,Required,,,,,,,,,,,,,,,,perimeter or alternate-row spraying,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
20,,,,11. Brown marmorated stink bug (BMSB),,6.0,c,c. Full-block cover sprays are avoided until adults are found within the interior of the block or trap captures exceed 50 adults per week. D ,Required,,,,,,,,determine whether to spray with: traps and thresholds(whole-block spraying),,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
21,,,,11. Brown marmorated stink bug (BMSB),,6.0,d,"d. For each insecticide application for BMSB, efficacy against other pests is considered, e.g., if also effective against apple maggot, no additional application is made for apple maggot during the effective period. D ",Required,,,,,,,,,,,,,,,,take into account cross-species efficacy of pesticides,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
22,,,,12. Powdery mildew,,6.0,a,"a. In high-inoculum blocks or blocks with susceptible varieties, fungicide applications target powdery mildew between tight cluster and petal fall. D ",Required,,,,,,,,determine when to spray with: crop phenology,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
23,,,,12. Powdery mildew,,6.0,b,b. Fungicide applications targeting powdery mildew after petal fall are only made if visible infections are found during scouting.  Score as NA if no treatments are made for powdery mildew. D,Required,,,,,,,,determine whether to spray with: scouting,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
24,,,,13. Trunk borer species ,,7.0,a,a. Visual scouting is completed to confirm infestation before borers are treated with pesticides.  Traps should be used to monitor presence/absence and population trends. ,Required,,,,,,,,determine whether to spray with: scouting,,,,,,,,,,,,,,,,,Red Tomato Eco Apple,nan,nan,nan,nan,nan,nan,nan
