,PRODUCTNAME,EPAREGISTRATIONNUMBER,PESTICIDEFORM,APPROVEDDATE,CANCELTRANSFERDATE,RESTRICTEDUSEPRODUCT,CONDITIONALLYFLAG,SIGNALWORD,ALTBRANDNAMELIST,COMPANY,AGENT,DISTRIBUTORLIST,FORMULATIONLIST,PESTLIST,SITELIST,PRODUCTMANAGERLIST,TRANSFERLIST,TYPESLIST
10587,IMI 1.47% CONCENTRATE,53883-205,16,2006-11-27, ,F,Y,Caution,,,,,,,,,,
10588,QUALI-PRO IPRO 2SE,53883-375,12,2007-04-24, ,F,Y,Caution,,,,,,,,,,
10589,IMI 0.22G PLANT GRANULES,53883-217,04,2007-04-03, ,F,Y,Caution,,,,,,,,,,
10590,LAMBDA 0.5% CONCENTRATE,53883-197,15,2006-09-27, ,F,Y,Caution,,,,,,,,,,
10591,LAMBDA RTS,53883-196,16,2006-09-25, ,F,Y,Caution,,,,,,,,,,
10592,LAMBDA LP,53883-195,04,2006-09-25, ,F,Y,Caution,,,,,,,,,,
10593,DOMINION 4 LB,53883-225,14,2007-07-24, ,F,Y,Caution,,,,,,,,,,
10594,IMI 2 LB GREENHOUSE & NURSERY INSECTICIDE,53883-232,15,2007-09-11, ,F,Y,Caution,,,,,,,,,,
10595,BIFEN 0.3% CONCENTRATE,53883-228,15,2007-09-06, ,F,Y,Caution,,,,,,,,,,
10596,IMI 1% G INSECTICIDE,53883-227,04,2007-08-24, ,F,Y,Caution,,,,,,,,,,
10597,QUALI-PRO DITHIOPYR 40 WSB,53883-374,21,2007-03-20, ,F,Y,Caution,,,,,,,,,,
10598,CONCORDE P-40M,53883-192,12,2006-07-11, ,F,N,Warning,,,,,,,,,,
10599,IMI 0.5 G INSECTICIDE,53883-199,04,2006-09-22, ,F,Y,Caution,,,,,,,,,,
10600,IMI TERMITE G,53883-198,04,2006-09-22, ,F,Y,Caution,,,,,,,,,,
10601,LAMBDA DUST,53883-233,03,2007-11-20, ,F,Y,Caution,,,,,,,,,,
10602,QUALI-PRO ABAMECTIN 0.15 EC,53883-371,12,2004-10-20, ,F,Y,Warning,,,,,,,,,,
10603,PROPIBIO 50 MC ,53883-224,02,2007-09-05, ,T,N,Caution,,,,,,,,,,
10604,IMI 0.3 G,53883-219,04,2007-04-24, ,F,Y,Caution,,,,,,,,,,
10605,BIFEN 0.086 G LAWN INSECTICIDE WITH FERTILIZER,53883-218,04,2007-04-17, ,F,Y,Caution,,,,,,,,,,
10606,QUALI-PRO T-NEX 1 AQ,53883-373,12,2007-02-16, ,F,Y,Caution,,,,,,,,,,
10607,OXADIAZON 0.67 PLUS,53883-191,04,2006-06-02, ,F,Y,Warning,,,,,,,,,,
10608,ACEPHATE 50 FIRE ANT INSECTICIDE,53883-203,03,2006-11-16, ,F,Y,Caution,,,,,,,,,,
10609,IMI 0.22 G T&O INSECTICIDE,53883-226,04,2007-07-20, ,F,Y,Caution,,,,,,,,,,
10610,PRODIAMINE 0.20 PLUS,53883-173,04,2005-06-08, ,F,Y,Caution,,,,,,,,,,
10611,PRODIAMINE 0.37 PLUS,53883-172,04,2005-06-08, ,F,Y,Caution,,,,,,,,,,
10612,PRODIAMINE 0.58 PLUS,53883-171,04,2005-06-08, ,F,Y,Caution,,,,,,,,,,
10613,PRODIAMINE 0.29 PLUS,53883-170,04,2005-06-08, ,F,Y,Caution,,,,,,,,,,
10614,MARTINS 31-67 ULV,53883-151,16,2005-04-26, ,T,Y,Caution,,,,,,,,,,
10615,PRODIAGUARD 65 MC,53883-169,02,2005-03-24, ,F,Y,Caution,,,,,,,,,,
10616,CONTROL XX-X-X TURF FERTILIZER WITH .083% BIFENTHRIN INSECTICIDE,53883-163,04,2005-03-01, ,T,Y,Caution,,,,,,,,,,
10617,CONTROL XX-X-X LAWN FOOD WITH 0.083% BIFENTHRIN INSECTICIDE,53883-162,04,2005-03-02, ,F,Y,Caution,,,,,,,,,,
10618,OXADIAZON 50 MC,53883-175,02,2005-05-23, ,F,Y,Warning,,,,,,,,,,
10619,CYPER 1% HORSE SPRAY,53883-150,16,2005-10-31, ,F,Y,Caution,,,,,,,,,,
10620,CONCORDE P-960,53883-187,03,2006-06-15, ,F,N,Danger,,,,,,,,,,
10621,CONCORDE P-40,53883-186,16,2006-03-10, ,F,Y,Caution,,,,,,,,,,
10622,OXADIAZON 1.O PLUS,53883-180,04,2005-08-08, ,F,Y,Warning,,,,,,,,,,
10623,OXADIAZON 1.5 PLUS,53883-179,04,2005-08-08, ,F,Y,Warning,,,,,,,,,,
10624,BIFENTHRIN 2.4 MEC,53883-178,16,2005-08-05, ,F,Y,Caution,,,,,,,,,,
10625,ORYZALIN PRO 4,53883-168,12,2005-03-25, ,F,Y,Caution,,,,,,,,,,
10626,CONTROL XX-X-X TURF FERTILIZER WITH .069% BIFENTHRIN INSECTICIDE,53883-161,04,2005-05-05, ,T,Y,Caution,,,,,,,,,,
10627,CONTROL XX-X-X LAWN FOOD WITH 0.069% BIFENTHRIN INSECTICIDE,53883-160,04,2005-02-02, ,F,Y,Caution,,,,,,,,,,
10628,OX G HERBICIDE,53883-182,04,2005-12-02, ,F,Y,Warning,,,,,,,,,,
10629,BIFENTHRIN RTU,53883-185,16,2006-04-10, ,F,Y,Caution,,,,,,,,,,
10630,PPZ 1.55 FUNGICIDE,53883-184,12,2006-01-09, ,F,Y,Warning,,,,,,,,,,
10631,T-METHYL G-PRO GRANULAR,53883-183,04,2006-01-10, ,F,Y,Caution,,,,,,,,,,
10632,MM 60 DF,53883-166,11,2005-03-03, ,F,N,Caution,,,,,,,,,,
10633,BIFENTHRIN NURSERY CONCENTRATE,53883-165,15,2005-04-06, ,T,Y,Caution,,,,,,,,,,
10634,BIFENTHRIN 7.9 INSECTICIDE,53883-159,15,2005-01-26, ,F,Y,Caution,,,,,,,,,,
10635,CYPER HORSE SPOT-ON,53883-152,16,2005-10-31, ,F,Y,Caution,,,,,,,,,,
10636,METOLACHLOR T&O HERBICIDE,53883-149,12,2004-04-23, ,F,N,Caution,,,,,,,,,,
10637,LAMBDA POUR-ON,53883-188,16,2006-03-03, ,F,Y,Caution,,,,,,,,,,
10638,CYPER AG II,53883-137,15,2004-11-18, ,T,Y,Danger,,,,,,,,,,
10639,GLYPHOSATE 41%,53883-130,12,2003-09-22, ,F,N,Warning,,,,,,,,,,
10640,ACEPHATE 75 SP AGRICULTURAL & FIRE ANT INSECTICIDE,53883-133,21,2005-01-14, ,F,Y,Caution,,,,,,,,,,
10641,PERMETHRIN 2.5 EW RTS,53883-134,16,2005-04-05, ,F,Y,Caution,,,,,,,,,,
10642,PERMETHRIN 3.2 SFR,53883-90,12,2003-07-14, ,F,Y,Caution,,,,,,,,,,
10643,BIFENTHRIN FIRE ANT KILLER,53883-127,04,2003-08-27, ,F,Y,Caution,,,,,,,,,,
10644,BIFENTHRIN GC CONCENTRATE,53883-125,14,2003-08-29, ,T,Y,Caution,,,,,,,,,,
10645,BIFENTHRIN PL GRANULAR,53883-124,04,2003-08-21, ,F,Y,Caution,,,,,,,,,,
10646,BIFENTHRIN RTU,53883-123,16,2003-08-27, ,F,Y,Caution,,,,,,,,,,
10647,BIFENTHRIN NURSERY G,53883-122,04,2003-08-27, ,F,Y,Caution,,,,,,,,,,
10648,BIFENTHRIN 0.1% LAWN GRANULES,53883-121,04,2003-08-27, ,F,Y,Caution,,,,,,,,,,
10649,BIFENTHRIN GC G,53883-119,04,2003-10-09, ,T,Y,Caution,,,,,,,,,,
10650,BIFENTHRIN GH,53883-116,15,2003-12-31, ,F,Y,Caution,,,,,,,,,,
10651,BIFENTHRIN TC INSECTICIDE/TERMITICIDE,53883-118,14,2003-09-22, ,F,Y,Caution,,,,,,,,,,
10652,BIFENTHRIN LT,53883-117,14,2003-09-22, ,F,Y,Caution,,,,,,,,,,
10653,PERMETHRIN 2.5 E.W.,53883-79,12,2002-02-13, ,F,N,Caution,,,,,,,,,,
10654,PERMETHRIN 2.5 E.W.C,53883-77,12,2002-01-30, ,T,N,Caution,,,,,,,,,,
10655,PRODIAMINE 65 WG HERBICIDE,53883-429,11,2004-05-11, ,F,Y,Caution,,,,,,,,,,
10656,Ant Gel Bait,53883-105,16,2003-09-26, ,F,N,Caution,,,,,,,,,,
10657,ACEPHATE TECHNICAL,53883-103,01,2003-06-20, ,F,Y,Caution,,,,,,,,,,
10658,ATRAZINE 4L,53883-95,11,2003-09-25, ,F,Y,Caution,,,,,,,,,,
10659,MARTIN'S ERASER RTU SYSTEMIC WEED & GRASS KILLER,53883-63,16,2001-02-27, ,F,Y,Caution,,,,,,,,,,
10660,I.G. REGULATOR ,53883-60,15,2000-11-03, ,F,Y,Caution,,,,,,,,,,
10661,MARTIN'S ERASER SYSTEMIC WEED & GRASS CONCENTRATE,53883-59,15,2000-08-01, ,F,Y,Warning,,,,,,,,,,
10662,PERMETHRIN 10 EW,53883-69,15,2002-05-01, ,F,Y,Caution,,,,,,,,,,
10663,BUMPER 14.3 EC,53883-363,12,2003-04-02, ,F,Y,Caution,,,,,,,,,,
10664,MARTIN'S STOCK-TOX X LIVESTOCK SPRAY,53883-25,12,1997-10-22, ,F,Y,Caution,,,,,,,,,,
10665,SURRENDER BRAND ERASER 18% SYSTEMIC WEED & GRASS KILLER,53883-62,12,2001-04-12, ,F,Y,Caution,,,,,,,,,,
10666,MARTIN'S SURRENDER PERMETHRIN GRANULES LAWN INSECT CONTROL,53883-39,04,2000-07-24, ,F,Y,Caution,,,,,,,,,,
10667,CYPER TC INSECTICIDE,53883-92,12,2003-02-14, ,F,Y,Caution,,,,,,,,,,
10668,MARTIN'S INSECTITABS,53883-70,05,2001-07-24, ,F,Y,Warning,,,,,,,,,,
10669,MARTIN'S VIPER INSECT DUST,53883-33,03,2000-01-13, ,F,Y,Caution,,,,,,,,,,
10670,MARTIN'S HORSE & STABLE SPRAY,53883-26,16,1998-04-27, ,F,Y,Caution,,,,,,,,,,
10671,CYPERMETHRIN TECHNICAL,53883-89,01,2002-11-06, ,F,Y,Warning,,,,,,,,,,
10672,VIPER INSECTICIDE CONCENTRATE,53883-27,12,1999-08-24, ,F,Y,Caution,,,,,,,,,,
10673,PERMETHRIN 3.2 E.W.,53883-78,12,2003-04-01, ,F,Y,Caution,,,,,,,,,,
10674,MARTIN'S PERMETHRIN 1.0% POUR-ON,53883-76,16,2002-05-06, ,F,Y,Caution,,,,,,,,,,
10675,MARTIN'S PERMETHRIN 1.0% SYNERGIZED POUR-ON,53883-75,16,2002-03-24, ,F,Y,Caution,,,,,,,,,,
10676,MARTIN'S PERMETHRIN 7.4% SYNERGIZED POUR-ON,53883-74,16,2002-03-20, ,F,Y,Caution,,,,,,,,,,
10677,PERMETHRIN 3.2 E.W.C.,53883-73,12,2003-01-22, ,T,Y,Caution,,,,,,,,,,
10678,PERMETHRIN 10 EWC,53883-72,15,2002-04-09, ,F,Y,Caution,,,,,,,,,,
10679,MARTIN'S GOPHER BAIT 50,53883-23,04,1981-04-01, ,F,N,Danger,,,,,,,,,,
10680,MARTIN'S GOPHER BAIT 50R,53883-24,04,1981-04-01, ,T,N,Danger,,,,,,,,,,
10681,CLOFENTEZINE SC OVICIDE/MITICIDE,53883-428,15,1996-02-15, ,F,Y,Caution,,,,,,,,,,
10682,CHEMCAL 1512,53431-14,15,2010-01-05, ,F,N,Danger,,,,,,,,,,
10683,KLEEN POOL ALGICIDE,54564-2,15,1992-03-02, ,F,Y,Danger,,,,,,,,,,
10684,POOLBOSS GRANULAR,54998-14,04,2014-09-29, ,F,N,Danger,,,,,,,,,,
10685,"3"" TABLETS",54998-1,05,1986-09-26, ,F,N,Danger,,,,,,,,,,
10686,FORMULA 500,54998-4,16,1986-09-29, ,F,Y,Caution,,,,,,,,,,
10687,MINI-TABS,54998-6,05,1986-09-26, ,F,N,Danger,,,,,,,,,,
10688,POOL SHOCK,54998-20005,06,1987-03-20, ,F,N,Danger,,,,,,,,,,
10689,BVA SPRAY 13E,55206-5,12,2016-06-08, ,F,N,Caution,,,,,,,,,,
10690,BVA SPRAY 22,55206-4,02,1985-12-27, ,F,Y,Caution,,,,,,,,,,
10691,BVA SPRAY 10,55206-1,02,1985-12-27, ,F,Y,Caution,,,,,,,,,,
10692,BVA SPRAY 13,55206-2,01,1985-12-27, ,F,Y,Caution,,,,,,,,,,
10693,Fipronil-Plus-C,55431-15,12,2019-03-12, ,F,N,Caution,,,,,,,,,,
10694,BACK OFF DOG REPELLENT,52142-5,19,2000-05-10, ,F,Y,Danger,,,,,,,,,,
10695,SODIUM HYPOCHLORITE 12.5% MUP,52374-13,01,2011-12-19, ,F,N,Danger,,,,,,,,,,
10696,SODIUM HYPOCHLORITE 15.5%,52374-15,15,2011-12-19, ,F,Y,Danger,,,,,,,,,,
10697,SODIUM HYPOCHLORITE 15.5% MUP,52374-14,01,2011-12-19, ,F,Y,Danger,,,,,,,,,,
10698,LIQUID COPPER SULFATE,52374-19,16,2004-03-25, ,F,Y,Danger,,,,,,,,,,
10699,AQUACHLOR,52374-18,15,2000-05-18, ,F,Y,Danger,,,,,,,,,,
10700,AQUACHLOR ,52374-17,15,1997-04-28, ,F,Y,Danger,,,,,,,,,,
10701,CHLORINE,52374-12,18,1974-02-01, ,F,N,Danger,,,,,,,,,,
10702,SODIUM HYPOCHLORITE 12.5% SOL,52374-9,15,1994-05-19, ,F,Y,Danger,,,,,,,,,,
10703,SODIUM HYPOCHLORITE 5.25% NAOCL BY WEIGHT,52374-11,15,1996-08-01, ,F,Y,Danger,,,,,,,,,,
10704,SODIUM HYPOCHLORITE 10% NAOCL BY WEIGHT,52374-10,15,1996-08-01, ,F,Y,Danger,,,,,,,,,,
10705,CALCIUM HYPOCHLORITE HYDRATED,53026-1,05,1984-11-15, ,F,N,Danger,,,,,,,,,,
10706,ENVIROSYSTEMS PROSHIELD 5000 D,53053-28,15,1998-10-13, ,F,Y,Warning,,,,,,,,,,
10707,ENVIROSYSTEMS BIOSHIELD 75 ,53053-24,15,2000-09-27, ,F,Y,Caution,,,,,,,,,,
10708,ENVIROSYSTEMS PROSHIELD 5000,53053-21,15,1998-10-13, ,F,Y,Warning,,,,,,,,,,
10709,ENVIROSYSTEMS BIOSHIELD 7200,53053-25,02,2000-02-16, ,F,Y,Danger,,,,,,,,,,
10710,ENVIROSYSTEMS BIOSHIELD 50,53053-23,16,2000-09-27, ,F,Y,Caution,,,,,,,,,,
10711,ENVIROSYSTEMS BIOSHIELD 150,53053-22,15,2000-09-27, ,F,Y,Caution,,,,,,,,,,
10712,ENVIROSYSTEMS PROSHIELD 3651 D,53053-27,15,2001-12-04, ,F,Y,Danger,,,,,,,,,,
10713,ENVIROSYSTEMS PROSHIELD 3651 I,53053-26,02,2001-05-21, ,F,Y,Danger,,,,,,,,,,
10714,OXIDAN DCN/W,53254-3,02,1986-01-13, ,F,N,Danger,,,,,,,,,,
10715,OXIDAN TCA,53254-1,02,1986-01-13, ,F,N,Danger,,,,,,,,,,
10716,SODIUM HYPOCHLORITE SOLUTION 10.5% BY WEIGHT,53257-6,16,1992-11-24, ,F,Y,Danger,,,,,,,,,,
10717,Bromine Cartridge,53735-16,  ,2018-02-02, ,F,Y,Danger,,,,,,,,,,
10718,Spa Chlorine Disinfectant,53735-14,16,2013-10-24, ,F,Y,Danger,,,,,,,,,,
10719,FROG DICHLOR PAC,53735-13,10,2011-10-25, ,F,Y,Danger,,,,,,,,,,
10720,SPA SHOCK,53735-12,15,2011-04-13, ,F,N,Danger,,,,,,,,,,
10721,POOL FROG MINERAL RESERVOIR,53735-11,10,2005-08-25, ,F,Y,Caution,,,,,,,,,,
10722,SANI-KING P-MAX VIII CARTRIDGE,53735-2,05,1990-10-26, ,F,N,Danger,,,,,,,,,,
10723,SPA BROMINE DISINFECTANT,53735-10,16,2002-05-23, ,F,Y,Danger,,,,,,,,,,
10724,NEW WATER POOL PROTECTOR,53735-9,16,1994-04-05, ,F,N,Warning,,,,,,,,,,
10725,BIOCLEAR 1430 ANTIMICROBIAL,52484-5,15,2016-02-12, ,F,Y,Danger,,,,,,,,,,
10726,BIOCLEAR 2256 ANTIMICROBIAL,52484-6,15,2016-02-12, ,F,Y,Danger,,,,,,,,,,
10727,BIOCLEAR 2250 ANTIMICROBIAL,52484-4,15,2016-02-12, ,F,Y,Danger,,,,,,,,,,
10728,CONTRAM ST-1,52484-3,14,2011-11-07, ,F,N,Danger,,,,,,,,,,
10729,SYLLIT 65WG,55260-11,12,2011-02-03, ,F,Y,Danger,,,,,,,,,,
10730,PROMESS FUNGICIDE,55260-10,12,2008-08-27, ,F,Y,Caution,,,,,,,,,,
10731,PROPLANT TURF AND ORNAMENTAL FUNGICIDE,55260-9,15,2007-05-31, ,F,N,Caution,,,,,,,,,,
10732,PROPLANT MUP,55260-8,15,2007-06-01, ,F,N,Caution,,,,,,,,,,
10733,SYLLIT FLOW FUNGICIDE,55260-6,14,2003-03-10, ,F,Y,Danger,,,,,,,,,,
10734,DODINE TECHNICAL,55260-4,01,1990-01-03, ,F,Y,Danger,,,,,,,,,,
10735,VOLUNTEER 2EC HERBICIDE,55467-17,12,2019-07-02, ,F,N,Warning,,,,,,,,,,
10736,TENKOZ ETHEPHON 6 PGR,55467-16,15,2014-09-10, ,F,N,Danger,,,,,,,,,,
10737,BUCCANEER 5 EXTRA HERBICIDE,55467-15,15,2013-11-20, ,F,N,Caution,,,,,,,,,,
10738,TENKOZ AMINE 4 HERBICIDE,55467-14,16,2009-12-02, ,F,N,Danger,,,,,,,,,,
10739,TENKOZ ATRAZINE 4L HERBICIDE,55467-13,12,2009-11-23, ,T,N,Caution,,,,,,,,,,
10740,TENKOZ LO-VOL 6 HERBICIDE,55467-12,12,2009-11-09, ,F,Y,Caution,,,,,,,,,,
10741,TENKOZ LO-VOL 4 HERBICIDE,55467-11,12,2009-11-24, ,F,N,Caution,,,,,,,,,,
10742,BUCCANEER GLYPHOSATE HERBICIDE,55467-10,15,2005-03-18, ,F,N,Warning,,,,,,,,,,
10743,BUCCANEER PLUS GLYPHOSATE HERBICIDE,55467-9,15,2005-03-18, ,F,N,Warning,,,,,,,,,,
10744,VOLLEY ATZ LITE TENKOZ HERBICIDE,55467-6,12,2003-01-16, ,T,Y,Caution,,,,,,,,,,
10745,VOLLEY ATZ TENKOZ HERBICIDE,55467-7,12,2003-01-16, ,T,Y,Warning,,,,,,,,,,
10746,VOLLEY TENKOZ HERBICIDE,55467-8,12,2003-01-16, ,F,Y,Warning,,,,,,,,,,
10747,B'S POOL SUPPLY SODIUM HYPOCHLORITE SOLUTION (12.5%),55487-20001,15,1987-05-21, ,F,N,Danger,,,,,,,,,,
10748,REVOX PA STERILANT,52252-11,15,2012-01-06, ,F,N,Danger,,,,,,,,,,
10749,MINNCARE COLD STERILANT,52252-4,15,1988-11-17, ,F,N,Danger,,,,,,,,,,
10750,ACTRIL COLD STERILANT,52252-7,16,1988-08-11, ,F,N,Danger,,,,,,,,,,
10751,BCH-50,55272-17,06,1996-07-22, ,F,Y,Danger,,,,,,,,,,
10752,COPPER HYDROXIDE TECHNICAL GRADE,55272-19,01,2010-07-09, ,F,Y,Danger,,,,,,,,,,
10753,COPPER OXYCHLORIDE TECHNICAL GRADE,55272-14,02,1996-07-25, ,F,Y,Warning,,,,,,,,,,
10754,MASTERCOP,55272-18,14,2010-03-01, ,F,N,Danger,,,,,,,,,,
10755,SODIUM HYPOCHLORITE SOLUTION,52867-20001,15,1995-08-09, ,F,Y,Danger,,,,,,,,,,
10756,ERCOPURE 37,53345-21,16,1997-02-13, ,F,Y,Danger,,,,,,,,,,
10757,SODIUM CHLORITE SOLUTION 31,53345-22,02,2001-02-22, ,F,Y,Danger,,,,,,,,,,
10758,ERCOPURE 31,53345-23,10,2001-07-03, ,F,Y,Danger,,,,,,,,,,
10759,ERCOPURE 25,53345-14,15,1988-03-16, ,F,Y,Danger,,,,,,,,,,
10760,SODIUM CHLORATE CRYSTAL,53345-15,02,1988-05-27, ,F,Y,Caution,,,,,,,,,,
10761,SODIUM CHLORATE AQUEOUS SOLUTION,53345-16,02,1988-05-27, ,F,Y,Caution,,,,,,,,,,
10762,ERCOCIDE SP,53345-18,15,1994-08-22, ,F,Y,Caution,,,,,,,,,,
10763,ERCOCIDE CP,53345-17,16,1994-04-08, ,F,Y,Caution,,,,,,,,,,
10764,SODIUM CHLORITE SOLUTION 7.5,53345-19,15,1996-03-25, ,F,Y,Danger,,,,,,,,,,
10765,SODIUM CHLORITE SOLUTION 15,53345-20,15,1996-03-25, ,F,Y,Danger,,,,,,,,,,
10766,SODIUM CHLORITE SOLUTION 25,53345-10,02,1988-03-16, ,F,Y,Danger,,,,,,,,,,
10767,SODIUM CHLORITE SOLUTION 37,53345-12,02,1988-03-16, ,F,Y,Danger,,,,,,,,,,
10768,CUSTOM CHLOR 150,54679-2,16,1998-04-16, ,F,Y,Danger,,,,,,,,,,
10769,MYCOSHIELD 34 WP,55146-164,  ,2020-06-09, ,F,N,Caution,,,,,,,,,,
10770,SALIENT TMI,55146-159,11,2018-06-08, ,F,Y,Caution,,,,,,,,,,
10771,Spirato M 5.0,55146-161,15,2018-05-16, ,F,N,Caution,,,,,,,,,,
10772,Trunemco Nematode Management,55146-162,15,2019-05-15, ,F,N,Caution,,,,,,,,,,
10773,Jasmone Technical Concentrate,55146-163,15,2019-05-15, ,F,N,Caution,,,,,,,,,,
10774,SALIENT TM 5.0,55146-160,15,2018-06-07, ,F,Y,Caution,,,,,,,,,,
10775,CUPROXAT FL COPPER FUNGICIDE,55146-151,15,2015-02-26, ,F,N,Caution,,,,,,,,,,
10776,Champion 50 ST,55146-156,15,2016-03-07, ,F,Y,Danger,,,,,,,,,,
10777,ST-GIBB 4LS,55146-155,16,2016-01-21, ,F,N,Warning,,,,,,,,,,
10778,CHAMPION++ FUNGICIDE/BACTERICIDE,55146-115,12,2010-03-15, ,F,Y,Caution,,,,,,,,,,
10779,MALLET 75 WP BULK PRODUCT,55146-130,12,2013-07-22, ,F,N,Caution,,,,,,,,,,
10780,EQUI-TM 1.5,55146-154,12,2015-12-29, ,F,Y,Caution,,,,,,,,,,
10781,EQUI TM 4.0,55146-153,11,2016-03-07, ,F,Y,Caution,,,,,,,,,,
10782,Patriot Selective Herbicide - Bulk Product,55146-135,11,2013-08-14, ,F,Y,Caution,,,,,,,,,,
10783,NUP-13009,55146-148,12,2014-06-17, ,F,Y,Caution,,,,,,,,,,
10784,SOLUTION BULK PRODUCT,55146-131,02,2013-09-09, ,F,N,Danger,,,,,,,,,,
10785,Purestand Selective Herbicide - Bulk Product,55146-143,01,2013-08-09, ,F,Y,Caution,,,,,,,,,,
10786,Rapport TankMix Herbicide - Bulk Product,55146-138,02,2013-08-14, ,F,Y,Caution,,,,,,,,,,
10787,Nuprid-S WG Bulk Product,55146-140,  ,2013-09-10, ,F,Y,Caution,,,,,,,,,,
10788,Curio Bulk Product,55146-141,02,2013-08-14, ,F,Y,Caution,,,,,,,,,,
10789,SATIVA IMT RTU,55146-123,16,2012-08-22, ,F,N,Caution,,,,,,,,,,
10790,AGRI TIN AGRICULTURAL FUNGICIDE,55146-72,21,1998-03-20, ,T,Y,Danger,,,,,,,,,,
10791,SATIVA IMF RTU,55146-122,16,2012-08-10, ,F,Y,Caution,,,,,,,,,,
10792,SATIVA IMF MAX,55146-119,12,2012-08-10, ,F,Y,Caution,,,,,,,,,,
10793,NUP-08056 SEED TREATMENT FUNGICIDE,55146-147,16,2014-01-14, ,F,N,Caution,,,,,,,,,,
10794,CUPROXAT Bulk Product,55146-129,02,2013-04-03, ,F,N,Caution,,,,,,,,,,
10795,Spyder Exra Selective Herbicide - Bulk Product,55146-133,02,2013-08-13, ,F,Y,Caution,,,,,,,,,,
10796,NUP-08099 Bulk Product,55146-149,02,2014-02-21, ,F,Y,Caution,,,,,,,,,,
10797,NUP 9D 01 MSM 60 WDG HERBICIDE - BULK PRODUCT,55146-142,11,2013-08-14, ,F,Y,Caution,,,,,,,,,,
10798,ST-METHYL 540 FS,55146-127,12,2013-01-15, ,F,N,Caution,,,,,,,,,,
10799,SPIRATO IM 413 FS,55146-117,15,2012-07-26, ,F,N,Caution,,,,,,,,,,
10800,Nufarm MSM SPC 60 EG Herbicide - Bulk Product,55146-145,02,2013-08-13, ,F,Y,Caution,,,,,,,,,,
10801,Spyder Selective Herbicide - Bulk Product,55146-144,02,2013-08-13, ,F,N,Caution,,,,,,,,,,
10802,Victory Herbicide - Bulk Product,55146-139,02,2013-08-13, ,F,Y,Caution,,,,,,,,,,
10803,Rapport BroadSpec Herbicide - Bulk Product,55146-136,01,2013-08-13, ,F,Y,Caution,,,,,,,,,,
10804,Manor Selective Herbicide - Bulk Product,55146-134,02,2013-08-09, ,F,Y,Caution,,,,,,,,,,
10805,Cloak EX Bulk Product,55146-132,02,2013-08-09, ,F,Y,Caution,,,,,,,,,,
10806,Treaty Extra Herbicide - Bulk Product,55146-137,02,2013-08-14, ,F,Y,Caution,,,,,,,,,,
10807,SATIVA IMT MAX,55146-124,12,2012-08-10, ,F,Y,Caution,,,,,,,,,,
10808,SENATOR 480 FS,55146-121,14,2012-06-29, ,F,Y,Caution,,,,,,,,,,
10809,Treaty Herbicide - Bulk Product,55146-146,02,2013-08-09, ,F,Y,Warning,,,,,,,,,,
10810,ULTRA FLOURISH AGRICULTURAL FUNGICIDE,55146-73,12,1998-11-24, ,F,Y,Warning,,,,,,,,,,
10811,NUFARM MYCLOBUTANIL 20EW,55146-105,  ,2008-10-21, ,F,N,Caution,,,,,,,,,,
10812,STREPTROL AGRICULTURAL STREPTOMYCIN,55146-80,06,2000-01-07, ,F,Y,Caution,,,,,,,,,,
10813,SPIRATO M 185 FS,55146-118,14,2012-02-28, ,F,N,Caution,,,,,,,,,,
10814,SPIRATO 480 FS,55146-116,12,2011-12-08, ,F,N,Caution,,,,,,,,,,
10815,TYPRUS PLANT GROWTH REGULATOR SOLUTION,55146-85,15,2000-01-31, ,F,Y,Warning,,,,,,,,,,
10816,NUFARM TPTH TECHNICAL,55146-71,01,1998-03-20, ,F,N,Danger,,,,,,,,,,
10817,SPERA COAT SEED TREATMENT,55146-114,14,2009-06-04, ,F,Y,Caution,,,,,,,,,,
10818,ULTRA FLOURISH II 4 SC FUNGICIDE,55146-109,15,2009-03-16, ,F,Y,Caution,,,,,,,,,,
10819,SIGNET 480 FS FUNGICIDE,55146-102,14,2008-08-22, ,F,N,Caution,,,,,,,,,,
10820,NUP-07270 FUNGICIDE,55146-108,14,2009-03-05, ,F,Y,Caution,,,,,,,,,,
10821,SEBRING 318 FS FUNGICIDE,55146-107,14,2009-03-02, ,F,Y,Caution,,,,,,,,,,
10822,SEBRING 480 FS FUNGICIDE,55146-106,14,2009-03-02, ,F,Y,Caution,,,,,,,,,,
10823,SATIVA 309 FS,55146-101,06,2008-08-14, ,F,Y,Caution,,,,,,,,,,
10824,SPERA 240 FS FUNGICIDE,55146-103,15,2008-12-31, ,F,Y,Caution,,,,,,,,,,
10825,SATIVA IM MAX,55146-113,  ,2009-03-18, ,F,Y,Caution,,,,,,,,,,
10826,SATIVA M RTU,55146-112,11,2009-03-26, ,F,Y,Caution,,,,,,,,,,
10827,SATIVA IM RTU,55146-111,16,2009-03-17, ,F,Y,Caution,,,,,,,,,,
10828,SATIVA M,55146-110,16,2009-03-26, ,F,Y,Caution,,,,,,,,,,
10829,CHAMP WG,55146-1,06,1985-12-06, ,F,Y,Danger,,,,,,,,,,
10830,MYCOSHIELD,55146-97,06,1979-01-29, ,F,N,Warning,,,,,,,,,,
10831,NUP-13039,55146-152,14,2015-05-20, ,F,Y,Caution,,,,,,,,,,
10832,STREPTOMYCIN SULFATE TECHNICAL,55146-79,01,2000-01-07, ,F,Y,Warning,,,,,,,,,,
